n_hour, Temperature_deviation, electric_load, cooling_load, heat_load, discomfort_cost 
0, 1, 22.492949662615587, 0.0, 5.571340222647416 , 0 
0, -1, 22.492949662615587, 0.0, 5.571340222647416, 13.747232787410073 
0, 1, 22.492949662615587, 0.0, 5.571340222647416, 13.747232787410073 
1, 1, 14.676467343018144, 0.0, 0.0 , 0 
1, -1, 14.663933468687729, 0.0, 0.0, 0.0 
1, 1, 14.690095557667926, 0.0, 0.0, 0.0 
2, 1, 14.708054162979803, 0.0, 0.0 , 0 
2, -1, 14.705570961839028, 0.0, 0.0, 0.0 
2, 1, 14.71029142889478, 0.0, 0.0, 0.0 
3, 1, 14.698882907852383, 0.0, 0.0 , 0 
3, -1, 14.696804208950956, 0.0, 0.0, 0.0 
3, 1, 14.700673742367236, 0.0, 0.0, 0.0 
4, 1, 14.835925545242622, 0.0, 0.0 , 0 
4, -1, 14.834074551205681, 0.0, 0.0, 0.0 
4, 1, 14.837474886552185, 0.0, 0.0, 0.0 
5, 1, 22.6107625984422, 0.0, 0.0 , 0 
5, -1, 22.60912780951705, 0.0, 0.0, 0.0 
5, 1, 22.61210372053204, 0.0, 0.0, 0.0 
6, 1, 38.52394836699996, 0.0, 3.34280413358845 , 0 
6, -1, 38.51017733782319, 0.0, 3.34280413358845, 13.747232787410073 
6, 1, 38.53672831452248, 0.0, 3.34280413358845, 13.747232787410073 
7, 1, 45.982309224229276, 0.0, 3.34280413358845 , 0 
7, -1, 45.96725278453704, 0.0, 3.34280413358845, 137.47232787410073 
7, 1, 45.99643811347277, 0.0, 3.34280413358845, 137.47232787410073 
8, 1, 46.006388808213714, 0.0, 3.34280413358845 , 0 
8, -1, 45.99122934718119, 0.0, 3.34280413358845, 137.47232787410073 
8, 1, 46.02122396498075, 0.0, 3.34280413358845, 137.47232787410073 
9, 1, 38.550350882670465, 0.0, 3.34280413358845 , 0 
9, -1, 38.53497552846867, 0.0, 3.34280413358845, 54.988931149640294 
9, 1, 38.56580807859052, 0.0, 3.34280413358845, 54.988931149640294 
10, 1, 46.03805730123272, 0.0, 11.142680445294832 , 0 
10, -1, 46.02233789525532, 0.0, 11.142680445294832, 54.988931149640294 
10, 1, 46.053570820830906, 0.0, 11.142680445294832, 54.988931149640294 
11, 1, 49.22823233869407, 0.0, 11.142680445294832 , 0 
11, -1, 49.21177204976259, 0.0, 11.142680445294832, 82.48339672446043 
11, 1, 49.24459295307315, 0.0, 11.142680445294832, 82.48339672446043 
12, 1, 48.93859573151011, 0.0, 8.914144356235868 , 0 
12, -1, 48.92203087565192, 0.0, 8.914144356235868, 137.47232787410073 
12, 1, 48.95499529009398, 0.0, 8.914144356235868, 137.47232787410073 
13, 1, 41.19266348048757, 0.0, 8.914144356235868 , 0 
13, -1, 41.17596380034187, 0.0, 8.914144356235868, 137.47232787410073 
13, 1, 41.209108689668504, 0.0, 8.914144356235868, 137.47232787410073 
14, 1, 40.90377734616838, 0.0, 6.6856082671769 , 0 
14, -1, 40.88717549044767, 0.0, 6.6856082671769, 82.48339672446043 
14, 1, 40.92030070417249, 0.0, 6.6856082671769, 82.48339672446043 
15, 1, 40.59905464227272, 0.0, 6.6856082671769 , 0 
15, -1, 40.581887354724195, 0.0, 6.6856082671769, 54.988931149640294 
15, 1, 40.61585291637063, 0.0, 6.6856082671769, 54.988931149640294 
16, 1, 47.71008025112045, 0.0, 6.6856082671769 , 0 
16, -1, 47.692895582631856, 0.0, 6.6856082671769, 68.73616393705036 
16, 1, 47.72709377935799, 0.0, 6.6856082671769, 68.73616393705036 
17, 1, 47.4293477410633, 0.0, 8.914144356235868 , 0 
17, -1, 47.4120810164869, 0.0, 8.914144356235868, 96.23062951187049 
17, 1, 47.446445566218024, 0.0, 8.914144356235868, 96.23062951187049 
18, 1, 47.14580775267522, 0.0, 11.142680445294832 , 0 
18, -1, 47.128502298434874, 0.0, 11.142680445294832, 151.21956066151083 
18, 1, 47.16295813344097, 0.0, 11.142680445294832, 151.21956066151083 
19, 1, 39.514509045074405, 0.0, 11.142680445294832 , 0 
19, -1, 39.49723615519676, 0.0, 11.142680445294832, 178.71402623633097 
19, 1, 39.53180090029334, 0.0, 11.142680445294832, 178.71402623633097 
20, 1, 39.210918377253506, 0.0, 8.914144356235868 , 0 
20, -1, 39.19366433162399, 0.0, 8.914144356235868, 192.46125902374098 
20, 1, 39.228059643053406, 0.0, 8.914144356235868, 192.46125902374098 
21, 1, 38.83726571138835, 0.0, 11.142680445294832 , 0 
21, -1, 38.82047616000749, 0.0, 11.142680445294832, 96.23062951187049 
21, 1, 38.853955016619864, 0.0, 11.142680445294832, 96.23062951187049 
22, 1, 38.44252711173432, 0.0, 8.914144356235868 , 0 
22, -1, 38.42561537164089, 0.0, 8.914144356235868, 54.988931149640294 
22, 1, 38.45931823989065, 0.0, 8.914144356235868, 54.988931149640294 
23, 1, 38.436385627953015, 0.0, 5.5613954795094696 , 0 
23, -1, 38.419321369403725, 0.0, 5.5613954795094696, 54.988931149640294 
23, 1, 38.45338929186213, 0.0, 5.5613954795094696, 54.988931149640294 

