E,H,C,timestamp
136.2987261,250.1176638,3.533779408,12/04/2016 01:15:00
132.4119962,254.080427,3.534018731,12/04/2016 01:30:00
128.5252665,258.0431902,3.534258054,12/04/2016 01:45:00
124.6385367,262.0059535,3.534497378,12/04/2016 02:00:00
120.7518068,268.1809579,3.534736701,12/04/2016 02:15:00
116.8650771,274.3559623,3.534976024,12/04/2016 02:30:00
112.9783473,280.5309668,3.535215347,12/04/2016 02:45:00
112.3701003,286.7059712,3.535454671,12/04/2016 03:00:00
112.6269157,293.6226,3.535693994,12/04/2016 03:15:00
112.9783473,300.5392289,3.535933317,12/04/2016 03:30:00
115.6484169,307.4558577,3.536172641,12/04/2016 03:45:00
116.2972137,314.3724866,3.536411964,12/04/2016 04:00:00
125.0276406,308.9754128,3.536651287,12/04/2016 04:15:00
133.7580673,303.5783391,3.536890611,12/04/2016 04:30:00
117.2839554,298.1812654,3.537129934,12/04/2016 04:45:00
117.4191214,292.7841916,3.537369257,12/04/2016 05:00:00
117.770553,323.4059842,3.537608581,12/04/2016 05:15:00
119.6963788,354.0277767,3.537847904,12/04/2016 05:30:00
123.0190518,384.6495697,3.538087227,12/04/2016 05:45:00
118.6151704,415.2713622,3.538326551,12/04/2016 06:00:00
118.1826392,432.405252,3.538565874,12/04/2016 06:15:00
114.4978098,449.539142,3.538805197,12/04/2016 06:30:00
110.8129803,466.6730317,3.53904452,12/04/2016 06:45:00
107.128151,483.8069215,3.539283844,12/04/2016 07:00:00
105.6294785,461.4753386,3.539523167,12/04/2016 07:15:00
104.6481727,439.143756,3.53976249,12/04/2016 07:30:00
104.5805897,416.8121734,3.540001814,12/04/2016 07:45:00
100.0828312,394.4805905,3.540241137,12/04/2016 08:00:00
105.5755379,378.0898719,3.54048046,12/04/2016 08:15:00
105.3521467,361.6991533,3.540719784,12/04/2016 08:30:00
106.3900001,345.3084345,3.540959107,12/04/2016 08:45:00
114.1154203,328.9177159,3.54119843,12/04/2016 09:00:00
118.6113003,324.1502787,3.541437754,12/04/2016 09:15:00
119.6259146,319.3828414,3.541677077,12/04/2016 09:30:00
119.9108344,314.6154042,3.5419164,12/04/2016 09:45:00
112.2375564,309.847967,3.542155724,12/04/2016 10:00:00
111.7660434,309.8572477,3.542395047,12/04/2016 10:15:00
110.1129633,309.8665283,3.54263437,12/04/2016 10:30:00
109.8104618,309.875809,3.542873693,12/04/2016 10:45:00
114.3931013,309.8850896,3.543113017,12/04/2016 11:00:00
118.9757407,302.0110303,3.54335234,12/04/2016 11:15:00
112.1070402,294.136971,3.543591663,12/04/2016 11:30:00
108.2491031,286.2629116,3.543830987,12/04/2016 11:45:00
107.3432207,278.3888523,3.54407031,12/04/2016 12:00:00
115.3220335,277.7198958,3.544309633,12/04/2016 12:15:00
111.0146456,277.0509392,3.544548957,12/04/2016 12:30:00
114.5054764,276.3819826,3.54478828,12/04/2016 12:45:00
116.9253367,275.7130261,3.545027603,12/04/2016 13:00:00
