TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
2017-01-18 00:00:00,20170118T000000,1783.2367843851712,1783.2367843851712,34.179465618885665 
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
TimeStamp,TimeInterval,Heat Dispatched,Gas Consumed,Cost
