TimeStamp,TimeInterval,Temperature Setpoint Dispatched,Heat Dispatched,Cooling Dispatched
2017-01-18 00:00:00,20170118T000000,17.13928645288344,2.124819399024158,6.160232076700365 
2017-01-18 00:00:00,20170118T000000,17.13928645288344,2.124819399024158,6.160232076700365 
2017-01-18 01:00:00,20170118T010000,17.13928645262415,2.124819395694537,6.160232077498998 
2017-01-18 02:00:00,20170118T020000,17.139286452679706,2.1248193964079007,6.160232077327893 
2017-01-18 03:00:00,20170118T030000,17.139286453315417,2.1248194045713937,6.160232075369822 
2017-01-18 04:00:00,20170118T040000,17.13928645245752,2.1248193935547057,6.1602320780122515 
2017-01-18 05:00:00,20170118T050000,17.13928645321562,2.1248194032898873,6.1602320756772 
2017-01-18 06:00:00,20170118T060000,17.139286453313787,2.124819404550447,6.1602320753748465 
2017-01-18 07:00:00,20170118T070000,17.13928645322316,2.1248194033866703,6.160232075653986 
2017-01-18 08:00:00,20170118T080000,17.139286453099647,2.124819401800597,6.160232076034417 
2017-01-18 09:00:00,20170118T090000,17.139286456158747,2.124819441083929,6.160232066612036 
2017-01-18 10:00:00,20170118T100000,17.13928645592134,2.124819438035278,6.1602320673432756 
2017-01-18 11:00:00,20170118T110000,17.139286456361226,2.1248194436840464,6.16023206598838 
2017-01-18 12:00:00,20170118T120000,17.139286450926665,2.124819373896319,6.160232082727453 
2017-01-18 13:00:00,20170118T130000,17.139286450693348,2.1248193709001626,6.160232083446102 
2017-01-18 14:00:00,20170118T140000,17.139286451922153,2.124819386679828,6.160232079661238 
2017-01-18 15:00:00,20170118T150000,17.139286450253895,2.124819365256929,6.160232084799671 
2017-01-18 16:00:00,20170118T160000,17.139286450184773,2.124819364369337,6.160232085012566 
2017-01-18 17:00:00,20170118T170000,17.139286454399198,2.124819418488716,6.160232072031655 
2017-01-18 18:00:00,20170118T180000,17.139286451644207,2.1248193831106086,6.160232080517341 
2017-01-18 19:00:00,20170118T190000,17.139286471768305,2.124819641533559,6.160232018532794 
2017-01-18 20:00:00,20170118T200000,17.139286466062018,2.1248195682564877,6.16023203610881 
2017-01-18 21:00:00,20170118T210000,17.139286451567244,2.12481938212229,6.160232080754397 
2017-01-18 22:00:00,20170118T220000,17.13928645199265,2.1248193875850987,6.1602320794441034 
