TimeStamp,TimeInterval,Electricity Dispatched,Heat Dispatched,Cooling Dispatched
2017-01-18 12:00:00,20170118T120000,162555.04020000002,272151.0684,26332.72651 
2017-01-18 13:00:00,20170118T130000,172191.9744,268021.3698,26814.71663 
2017-01-18 14:00:00,20170118T140000,163123.7317,252227.744,25842.703230000003 
2017-01-18 15:00:00,20170118T150000,177691.4158,253495.1683,26694.219100000002 
2017-01-18 16:00:00,20170118T160000,180012.168,280293.6469,26453.224039999997 
2017-01-18 17:00:00,20170118T170000,175094.02399999998,308578.5786,25842.703230000003 
2017-01-18 18:00:00,20170118T180000,177897.4508,322574.18639999995,25947.134420000002 
2017-01-18 19:00:00,20170118T190000,181586.0041,321964.8299,25489.24381 
