# file...... TotalPower_SPU125.csv
# date...... Mon Jul 13 12:56:07 2020
# user...... nathan
# host...... (null)
# target.... meter 44
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power
2004-01-18 17:50:00 PST,+6.09687e+06
2004-01-18 18:00:00 PST,+6.09687e+06
2004-01-18 18:10:00 PST,+6.13965e+06
2004-01-18 18:20:00 PST,+6.13965e+06
2004-01-18 18:30:00 PST,+6.13965e+06
2004-01-18 18:40:00 PST,+6.13965e+06
2004-01-18 18:50:00 PST,+6.13965e+06
2004-01-18 19:00:00 PST,+6.13965e+06
2004-01-18 19:10:00 PST,+6.19596e+06
2004-01-18 19:20:00 PST,+6.19596e+06
2004-01-18 19:30:00 PST,+6.19596e+06
2004-01-18 19:40:00 PST,+6.19596e+06
2004-01-18 19:50:00 PST,+6.19596e+06
2004-01-18 20:00:00 PST,+6.19596e+06
2004-01-18 20:10:00 PST,+6.13546e+06
2004-01-18 20:20:00 PST,+6.13546e+06
2004-01-18 20:30:00 PST,+6.13546e+06
2004-01-18 20:40:00 PST,+6.13546e+06
2004-01-18 20:50:00 PST,+6.13546e+06
2004-01-18 21:00:00 PST,+6.13546e+06
2004-01-18 21:10:00 PST,+6.10544e+06
2004-01-18 21:20:00 PST,+6.10544e+06
2004-01-18 21:30:00 PST,+6.10544e+06
2004-01-18 21:40:00 PST,+6.10544e+06
2004-01-18 21:50:00 PST,+6.10544e+06
2004-01-18 22:00:00 PST,+6.10544e+06
2004-01-18 22:10:00 PST,+6.07551e+06
2004-01-18 22:20:00 PST,+6.07551e+06
2004-01-18 22:30:00 PST,+6.07551e+06
2004-01-18 22:40:00 PST,+6.07551e+06
2004-01-18 22:50:00 PST,+6.07551e+06
2004-01-18 23:00:00 PST,+6.07551e+06
2004-01-18 23:10:00 PST,+6.07551e+06
2004-01-18 23:20:00 PST,+6.07551e+06
2004-01-18 23:30:00 PST,+6.07551e+06
2004-01-18 23:40:00 PST,+6.07551e+06
