# file...... LoadFlowResult_CASPA.csv
# date...... Mon Jul 13 12:56:07 2020
# user...... nathan
# host...... (null)
# target.... meter 50
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_power, measured_power_A, measured_power_B, measured_power_C
2004-01-18 08:10:00 PST,+107500-180d,+35833.4+180d,+35833.4-180d,+35833.4-180d
2004-01-18 08:20:00 PST,+107500+180d,+35833.4+180d,+35833.4+180d,+35833.4-180d
2004-01-18 08:30:00 PST,+107500+180d,+35833.4+180d,+35833.4-180d,+35833.4+180d
2004-01-18 08:40:00 PST,+107500-180d,+35833.4+180d,+35833.4-180d,+35833.4+180d
2004-01-18 08:50:00 PST,+107500+180d,+35833.4+180d,+35833.4-180d,+35833.4+180d
2004-01-18 09:00:00 PST,+107500+180d,+35833.4+180d,+35833.4-180d,+35833.4+180d
2004-01-18 09:10:00 PST,+245471+180d,+81823.6+180d,+81823.6+180d,+81823.6+180d
2004-01-18 09:20:00 PST,+245471+180d,+81823.6+180d,+81823.6+180d,+81823.6+180d
2004-01-18 09:30:00 PST,+245471+180d,+81823.6+180d,+81823.6-180d,+81823.6+180d
2004-01-18 09:40:00 PST,+245471-180d,+81823.6+180d,+81823.6-180d,+81823.6-180d
2004-01-18 09:50:00 PST,+245471+180d,+81823.6+180d,+81823.6+180d,+81823.6+180d
2004-01-18 10:00:00 PST,+245471-180d,+81823.6+180d,+81823.6-180d,+81823.6-180d
2004-01-18 10:10:00 PST,+233619-180d,+77872.9+180d,+77872.9-180d,+77872.9-180d
2004-01-18 10:20:00 PST,+233619+180d,+77872.9+180d,+77872.9+180d,+77872.9+180d
2004-01-18 10:30:00 PST,+233619+180d,+77872.9+180d,+77872.9+180d,+77872.9+180d
2004-01-18 10:40:00 PST,+233619-180d,+77872.9+180d,+77872.9-180d,+77872.9-180d
2004-01-18 10:50:00 PST,+233619-180d,+77872.9+180d,+77872.9-180d,+77872.9-180d
2004-01-18 11:00:00 PST,+233619+180d,+77872.9+180d,+77872.9+180d,+77872.9+180d
2004-01-18 11:10:00 PST,+235300+180d,+78433.5+180d,+78433.5+180d,+78433.5-180d
2004-01-18 11:20:00 PST,+235300+180d,+78433.5+180d,+78433.5+180d,+78433.5+180d
2004-01-18 11:30:00 PST,+235300-180d,+78433.5+180d,+78433.5-180d,+78433.5-180d
2004-01-18 11:40:00 PST,+235300+180d,+78433.5+180d,+78433.5+180d,+78433.5+180d
2004-01-18 11:50:00 PST,+235300-180d,+78433.5+180d,+78433.5-180d,+78433.5-180d
2004-01-18 12:00:00 PST,+235300-180d,+78433.5+180d,+78433.5-180d,+78433.5+180d
2004-01-18 12:10:00 PST,+167741-180d,+55913.8+180d,+55913.8+180d,+55913.8-180d
2004-01-18 12:20:00 PST,+167741+180d,+55913.8+180d,+55913.8+180d,+55913.8+180d
2004-01-18 12:30:00 PST,+167741+180d,+55913.8+180d,+55913.8+180d,+55913.8+180d
2004-01-18 12:40:00 PST,+167741+180d,+55913.8+180d,+55913.8+180d,+55913.8-180d
2004-01-18 12:50:00 PST,+167741-180d,+55913.8+180d,+55913.8-180d,+55913.8-180d
2004-01-18 13:00:00 PST,+167741-180d,+55913.8+180d,+55913.8-180d,+55913.8-180d
2004-01-18 13:10:00 PST,+29475.3-180d,+9825.11+180d,+9825.11+180d,+9825.11-180d
2004-01-18 13:20:00 PST,+29475.3+180d,+9825.11+180d,+9825.11+180d,+9825.11+180d
2004-01-18 13:30:00 PST,+29475.3-180d,+9825.11+180d,+9825.11-180d,+9825.11-180d
2004-01-18 13:40:00 PST,+29475.3-180d,+9825.11+180d,+9825.11+180d,+9825.11-180d
2004-01-18 13:50:00 PST,+29475.3-180d,+9825.11+180d,+9825.11+180d,+9825.11-180d
2004-01-18 14:00:00 PST,+29475.3-180d,+9825.11+180d,+9825.11+180d,+9825.11-180d
2004-01-18 14:10:00 PST,+159582-180d,+53194+180d,+53194-180d,+53194+180d
2004-01-18 14:20:00 PST,+159582-180d,+53194+180d,+53194-180d,+53194-180d
2004-01-18 14:30:00 PST,+159582+180d,+53194+180d,+53194+180d,+53194+180d
2004-01-18 14:40:00 PST,+159582-180d,+53194+180d,+53194-180d,+53194-180d
2004-01-18 14:50:00 PST,+159582+180d,+53194+180d,+53194+180d,+53194-180d
2004-01-18 15:00:00 PST,+159582+180d,+53194+180d,+53194+180d,+53194-180d
2004-01-18 15:10:00 PST,+49427.9+1.15974e-14d,+16476+1.54434e-18d,+16476-6.00932e-14d,+16476+9.4884e-14d
2004-01-18 15:20:00 PST,+49427.9+9.45339e-15d,+16476-1.05015e-16d,+16476-6.64188e-14d,+16476+9.4884e-14d
2004-01-18 15:30:00 PST,+49427.9+6.9561e-14d,+16476-6.17734e-17d,+16476+1.10698e-13d,+16476+9.80468e-14d
2004-01-18 15:40:00 PST,+49427.9+1.84494e-13d,+16476-9.26602e-18d,+16476+1.23349e-13d,+16476+4.30141e-13d
2004-01-18 15:50:00 PST,+49427.9-3.58729e-14d,+16476-8.33941e-17d,+16476-6.00932e-14d,+16476-4.7442e-14d
2004-01-18 16:00:00 PST,+49427.9-8.53807e-14d,+16476+4.47857e-17d,+16476+6.3256e-15d,+16476-2.62512e-13d
2004-01-18 16:10:00 PST,+82724.9+5.54429e-14d,+27575+2.95276e-17d,+27575+1.09606e-13d,+27575+5.66929e-14d
2004-01-18 16:20:00 PST,+82724.9+5.92188e-14d,+27575+1.84547e-17d,+27575+2.64567e-14d,+27575+1.51181e-13d
2004-01-18 16:30:00 PST,+82724.9-5.03937e-15d,+27575+0d,+27575+1.39843e-13d,+27575-1.54961e-13d
2004-01-18 16:40:00 PST,+82724.9-6.27584e-15d,+27575+7.0128e-17d,+27575-5.66929e-14d,+27575+3.77953e-14d
2004-01-18 16:50:00 PST,+82724.9-1.76157e-14d,+27575+6.6437e-17d,+27575-7.55906e-15d,+27575-4.53544e-14d
2004-01-18 17:00:00 PST,+82724.9+2.49385e-15d,+27575-7.75099e-17d,+27575-5.29134e-14d,+27575+6.04725e-14d
2004-01-18 17:10:00 PST,+12161.8+3.38506e-13d,+4053.95+3.72665e-17d,+4053.95+5.81652e-13d,+4053.95+4.33829e-13d
2004-01-18 17:20:00 PST,+12161.8+4.07101e-13d,+4053.95+1.54166e-16d,+4053.95+1.73532e-13d,+4053.95+1.04762e-12d
2004-01-18 17:30:00 PST,+12161.8+6.41912e-15d,+4053.95-2.3929e-17d,+4053.95-6.9734e-13d,+4053.95+7.16621e-13d
2004-01-18 17:40:00 PST,+12161.8-1.01752e-13d,+4053.95+3.21669e-17d,+4053.95-1.9924e-13d,+4053.95-1.06047e-13d
2004-01-18 17:50:00 PST,+12161.8-6.73769e-13d,+4053.95+1.64757e-17d,+4053.95-1.07333e-12d,+4053.95-9.47997e-13d
2004-01-18 18:00:00 PST,+12161.8-1.26392e-13d,+4053.95+2.31445e-17d,+4053.95+7.74465e-13d,+4053.95-1.15366e-12d
2004-01-18 18:10:00 PST,+52384+5.4732e-14d,+17461.3+5.82875e-17d,+17461.3-2.98432e-15d,+17461.3+1.67122e-13d
2004-01-18 18:20:00 PST,+52384+8.25914e-14d,+17461.3+7.57737e-17d,+17461.3-3.58118e-14d,+17461.3+2.8351e-13d
2004-01-18 18:30:00 PST,+52384-5.7691e-14d,+17461.3+1.74862e-17d,+17461.3-2.23824e-13d,+17461.3+5.07334e-14d
2004-01-18 18:40:00 PST,+52384+1.10027e-14d,+17461.3+1.80691e-16d,+17461.3-2.38746e-14d,+17461.3+5.67021e-14d
2004-01-18 18:50:00 PST,+52384-1.21319e-13d,+17461.3+1.31147e-16d,+17461.3-1.90996e-13d,+17461.3-1.73091e-13d
2004-01-18 19:00:00 PST,+52384-9.24595e-14d,+17461.3+1.63205e-16d,+17461.3-3.7304e-13d,+17461.3+9.54982e-14d
2004-01-18 19:10:00 PST,+105306+1.08963e-14d,+35101.8+2.8995e-17d,+35101.8+3.5629e-14d,+35101.8-2.96909e-15d
2004-01-18 19:20:00 PST,+105306-8.91499e-15d,+35101.8-2.3196e-17d,+35101.8-2.67218e-14d,+35101.8+0d
2004-01-18 19:30:00 PST,+105306+2.27185e-14d,+35101.8-1.33377e-16d,+35101.8+2.96909e-15d,+35101.8+6.53199e-14d
2004-01-18 19:40:00 PST,+105306-3.76104e-14d,+35101.8-5.799e-18d,+35101.8-8.31344e-14d,+35101.8-2.96909e-14d
2004-01-18 19:50:00 PST,+105306-1.77875e-14d,+35101.8+8.1186e-17d,+35101.8+8.90726e-15d,+35101.8-6.23508e-14d
2004-01-18 20:00:00 PST,+105306-3.866e-18d,+35101.8-1.1598e-17d,+35101.8-6.8289e-14d,+35101.8+6.8289e-14d
2004-01-18 20:10:00 PST,+48450.9-1.52731e-13d,+16150.3-1.73303e-17d,+16150.3-1.77462e-13d,+16150.3-2.80712e-13d
2004-01-18 20:20:00 PST,+48450.9-3.87384e-14d,+16150.3-5.82927e-17d,+16150.3-1.3229e-13d,+16150.3+1.61329e-14d
2004-01-18 20:30:00 PST,+48450.9+2.14559e-14d,+16150.3-1.6385e-16d,+16150.3-7.42113e-14d,+16150.3+1.38743e-13d
2004-01-18 20:40:00 PST,+48450.9+1.0112e-13d,+16150.3+6.14437e-17d,+16150.3+4.51721e-14d,+16150.3+2.58126e-13d
2004-01-18 20:50:00 PST,+48450.9-1.19324e-13d,+16150.3+1.78029e-16d,+16150.3-1.51649e-13d,+16150.3-2.06501e-13d
2004-01-18 21:00:00 PST,+48450.9-1.90406e-13d,+16150.3-1.13434e-16d,+16150.3-3.96869e-13d,+16150.3-1.74235e-13d
2004-01-18 21:10:00 PST,+20225.1-1.37864e-13d,+6741.68-5.94436e-17d,+6741.68-4.2899e-13d,+6741.68+1.54591e-14d
2004-01-18 21:20:00 PST,+20225.1+9.1445e-14d,+6741.68-6.41613e-17d,+6741.68+2.85993e-13d,+6741.68-1.15943e-14d
2004-01-18 21:30:00 PST,+20225.1+1.67449e-13d,+6741.68-7.26533e-17d,+6741.68+1.35267e-13d,+6741.68+3.67154e-13d
2004-01-18 21:40:00 PST,+20225.1-3.40065e-13d,+6741.68+1.06621e-16d,+6741.68-2.5121e-13d,+6741.68-7.69091e-13d
2004-01-18 21:50:00 PST,+20225.1-2.79564e-13d,+6741.68-3.39678e-17d,+6741.68-5.83581e-13d,+6741.68-2.55075e-13d
2004-01-18 22:00:00 PST,+20225.1+3.48295e-14d,+6741.68+1.39645e-16d,+6741.68+3.36236e-13d,+6741.68-2.31887e-13d
2004-01-18 22:10:00 PST,+7921.99+180d,+2640.66+180d,+2640.66-180d,+2640.66+180d
2004-01-18 22:20:00 PST,+7921.99+180d,+2640.66+180d,+2640.66+180d,+2640.66+180d
2004-01-18 22:30:00 PST,+7921.99+180d,+2640.66+180d,+2640.66+180d,+2640.66+180d
2004-01-18 22:40:00 PST,+7921.99+180d,+2640.66+180d,+2640.66+180d,+2640.66+180d
2004-01-18 22:50:00 PST,+7921.99+180d,+2640.66+180d,+2640.66+180d,+2640.66+180d
2004-01-18 23:00:00 PST,+7921.99+180d,+2640.66+180d,+2640.66+180d,+2640.66-180d
2004-01-18 23:10:00 PST,+7921.99+180d,+2640.66+180d,+2640.66-180d,+2640.66+180d
2004-01-18 23:20:00 PST,+7921.99-180d,+2640.66+180d,+2640.66-180d,+2640.66-180d
2004-01-18 23:30:00 PST,+7921.99+180d,+2640.66+180d,+2640.66+180d,+2640.66+180d
2004-01-18 23:40:00 PST,+7921.99+180d,+2640.66+180d,+2640.66+180d,+2640.66-180d
