# file...... TotalPower_SPU124.csv
# date...... Fri Apr 17 16:07:32 2020
# user...... nathan
# host...... (null)
# target.... meter 1359
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power
2017-01-18 17:50:00 PST,+2.7686e+06
2017-01-18 18:00:00 PST,+2.72747e+06
2017-01-18 18:10:00 PST,+2.72383e+06
2017-01-18 18:20:00 PST,+2.74041e+06
2017-01-18 18:30:00 PST,+2.75993e+06
2017-01-18 18:40:00 PST,+2.7651e+06
2017-01-18 18:50:00 PST,+2.74034e+06
2017-01-18 19:00:00 PST,+2.68776e+06
2017-01-18 19:10:00 PST,+2.62006e+06
2017-01-18 19:20:00 PST,+2.55005e+06
2017-01-18 19:30:00 PST,+2.49053e+06
2017-01-18 19:40:00 PST,+2.45428e+06
2017-01-18 19:50:00 PST,+2.45362e+06
2017-01-18 20:00:00 PST,+2.48811e+06
2017-01-18 20:10:00 PST,+2.54296e+06
2017-01-18 20:20:00 PST,+2.6026e+06
2017-01-18 20:30:00 PST,+2.65147e+06
2017-01-18 20:40:00 PST,+2.67398e+06
2017-01-18 20:50:00 PST,+2.6546e+06
2017-01-18 21:00:00 PST,+2.58662e+06
2017-01-18 21:10:00 PST,+2.48206e+06
2017-01-18 21:20:00 PST,+2.35533e+06
2017-01-18 21:30:00 PST,+2.22081e+06
2017-01-18 21:40:00 PST,+2.09284e+06
2017-01-18 21:50:00 PST,+1.98573e+06
2017-01-18 22:00:00 PST,+1.91068e+06
2017-01-18 22:10:00 PST,+1.86585e+06
2017-01-18 22:20:00 PST,+1.84594e+06
2017-01-18 22:30:00 PST,+1.84566e+06
2017-01-18 22:40:00 PST,+1.85972e+06
2017-01-18 22:50:00 PST,+1.88287e+06
2017-01-18 23:00:00 PST,+1.9098e+06
2017-01-18 23:10:00 PST,+1.93526e+06
2017-01-18 23:20:00 PST,+1.95394e+06
2017-01-18 23:30:00 PST,+1.96057e+06
2017-01-18 23:40:00 PST,+1.94986e+06
2017-01-18 23:50:00 PST,+1.91653e+06
