E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
41,2019-11-14 04:13:25.813820,20191114T060000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813826,20191114T060000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813830,20191114T060000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813832,20191114T060000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813888,20191114T070000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813893,20191114T070000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813897,20191114T070000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813899,20191114T070000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813956,20191114T080000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813961,20191114T080000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813965,20191114T080000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.813967,20191114T080000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814023,20191114T090000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814029,20191114T090000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814033,20191114T090000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814035,20191114T090000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814091,20191114T100000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814097,20191114T100000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814100,20191114T100000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814103,20191114T100000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814160,20191114T110000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814166,20191114T110000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814170,20191114T110000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814172,20191114T110000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814229,20191114T120000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814235,20191114T120000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814239,20191114T120000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814241,20191114T120000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814299,20191114T130000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814305,20191114T130000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814309,20191114T130000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814311,20191114T130000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814370,20191114T140000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814376,20191114T140000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814380,20191114T140000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814382,20191114T140000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814442,20191114T150000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814448,20191114T150000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814451,20191114T150000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814454,20191114T150000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814525,20191114T160000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814531,20191114T160000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814535,20191114T160000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814537,20191114T160000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814607,20191114T170000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814613,20191114T170000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814616,20191114T170000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814618,20191114T170000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814679,20191114T180000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814685,20191114T180000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814689,20191114T180000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814691,20191114T180000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814752,20191114T190000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814758,20191114T190000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814762,20191114T190000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814764,20191114T190000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814826,20191114T200000,0,0.0003062286011318932,-306.2286011317574,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814831,20191114T200000,1,0,-306.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814835,20191114T200000,2,inf,-302.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
41,2019-11-14 04:13:25.814837,20191114T200000,3,0.0008197373352472201,-304.9757394844092,0.0,0.0,0.0,0.0,0.0,0.0
