E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
42,2019-11-14 04:13:25.811971,20191114T060000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.811977,20191114T060000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.811980,20191114T060000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.811982,20191114T060000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812066,20191114T070000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812072,20191114T070000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812076,20191114T070000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812078,20191114T070000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812136,20191114T080000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812142,20191114T080000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812145,20191114T080000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812148,20191114T080000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812206,20191114T090000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812212,20191114T090000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812215,20191114T090000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812217,20191114T090000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812276,20191114T100000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812281,20191114T100000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812285,20191114T100000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812287,20191114T100000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812346,20191114T110000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812352,20191114T110000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812355,20191114T110000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812358,20191114T110000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812416,20191114T120000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812422,20191114T120000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812426,20191114T120000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812428,20191114T120000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812487,20191114T130000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812492,20191114T130000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812496,20191114T130000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812498,20191114T130000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812557,20191114T140000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812564,20191114T140000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812568,20191114T140000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
